id,created_at,text,author.name,label,public_metrics.like_count,public_metrics.retweet_count,topics,main_topics,one_topic
1075677468294635522,2018-12-20T09:01:08.000Z,gamecentral borderlands 2 vr rough ready world works better youd thinknnnick gillett gives take 2ks rock,Metro,en,0,1,"{'sequence': 'gamecentral borderlands 2 vr rough ready world works better youd thinknnnick gillett gives take 2ks rock', 'labels': ['video game', 'virtual reality', 'artificial intelligence', 'war', 'robot', 'space', 'sex'], 'scores': [0.9963836073875427, 0.9687009453773499, 0.14812692999839783, 0.03505122289061546, 0.020412541925907135, 0.0102995615452528, 0.0014527792809531093]}","['video game', 'virtual reality']",video game
670304079214702592,2015-11-27T18:12:00.000Z,worlds sexiest robot apparently,The Sun,en,3,5,"{'sequence': 'worlds sexiest robot apparently', 'labels': ['robot', 'artificial intelligence', 'video game', 'space', 'virtual reality', 'sex', 'war'], 'scores': [0.9925834536552429, 0.9183428883552551, 0.3086118996143341, 0.14729200303554535, 0.10551954805850983, 0.10224457830190659, 0.00016178392979782075]}","['robot', 'artificial intelligence']",robot
1085566226116628480,2019-01-16T15:55:31.000Z,ancestor knew nothing ciencia neardental denisovano inteligenciaartificial,La Voz de Galicia,es,2,1,"{'sequence': 'ancestor knew nothing ciencia neardental denisovano inteligenciaartificial', 'labels': ['artificial intelligence', 'virtual reality', 'robot', 'video game', 'space', 'war', 'sex'], 'scores': [0.9933252930641174, 0.627744734287262, 0.4596652090549469, 0.2660616636276245, 0.1461157202720642, 0.08483827114105225, 0.001639887923374772]}",['artificial intelligence'],artificial intelligence
968059526594420736,2018-02-26T09:45:51.000Z,new porsche mission e contains blockchain much exciting insights behind scenes car manufacturer mwbuchenau handelsblatt,Lars Ophüls,de,3,3,"{'sequence': 'new porsche mission e contains blockchain much exciting insights behind scenes car manufacturer mwbuchenau handelsblatt', 'labels': ['robot', 'artificial intelligence', 'virtual reality', 'video game', 'sex', 'space', 'war'], 'scores': [0.02320200949907303, 0.013174626976251602, 0.0015245906542986631, 0.0008261338225565851, 0.0003948925295844674, 0.0003376924432814121, 0.0002788971469271928]}",['robot'],robot
784508641508483072,2016-10-07T21:40:10.000Z,relive second world war virtual reality app,De Gelderlander,nl,2,3,"{'sequence': 'relive second world war virtual reality app', 'labels': ['virtual reality', 'war', 'video game', 'robot', 'artificial intelligence', 'sex', 'space'], 'scores': [0.9944562911987305, 0.9911655187606812, 0.5152471661567688, 0.007015753071755171, 0.00045650353422388434, 0.00012700892693828791, 9.865957690635696e-05]}","['virtual reality', 'war']",virtual reality
740978583859015680,2016-06-09T18:47:15.000Z,fourlegged robot horse track fugitives withstand attack,The Mirror,en,2,4,"{'sequence': 'fourlegged robot horse track fugitives withstand attack', 'labels': ['artificial intelligence', 'robot', 'video game', 'space', 'virtual reality', 'war', 'sex'], 'scores': [0.9847385287284851, 0.9744751453399658, 0.9431777596473694, 0.7945647835731506, 0.7183973789215088, 0.008954833261668682, 0.0002633087569847703]}","['artificial intelligence', 'robot', 'video game']",artificial intelligence
889448423979659264,2017-07-24T11:33:24.000Z,rediff artificial intelligence taking homes,Le Figaro Économie,fr,2,6,"{'sequence': 'rediff artificial intelligence taking homes', 'labels': ['artificial intelligence', 'robot', 'video game', 'virtual reality', 'space', 'sex', 'war'], 'scores': [0.9875462651252747, 0.4287586510181427, 0.19779957830905914, 0.041452255100011826, 0.0002664881176315248, 0.00023469148436561227, 0.00018702595843933523]}",['artificial intelligence'],artificial intelligence
713333779960606720,2016-03-25T11:56:40.000Z,elpaistec microsoft removes robot made racist comments twitter,EL PAÍS,es,0,46,"{'sequence': 'elpaistec microsoft removes robot made racist comments twitter', 'labels': ['robot', 'artificial intelligence', 'video game', 'virtual reality', 'space', 'war', 'sex'], 'scores': [0.9846537113189697, 0.8321917653083801, 0.009417930617928505, 0.001077745109796524, 0.000952842878177762, 0.0001959214569069445, 0.0001808405650081113]}",['robot'],robot
828653269610270721,2017-02-06T17:15:09.000Z,robot tax wanted benoithamon would harmful economy via cerclelesechos,Les Echos,fr,12,18,"{'sequence': 'robot tax wanted benoithamon would harmful economy via cerclelesechos', 'labels': ['robot', 'artificial intelligence', 'space', 'video game', 'virtual reality', 'war', 'sex'], 'scores': [0.9133692383766174, 0.5517979264259338, 0.27002760767936707, 0.02699093520641327, 0.0032448838464915752, 0.00022773344244342297, 0.00021099240984767675]}",['robot'],robot
783733996760866816,2016-10-05T18:22:00.000Z,robot helps end 12hour stand armed suspect killed police,The Mirror,en,4,3,"{'sequence': 'robot helps end 12hour stand armed suspect killed police', 'labels': ['artificial intelligence', 'robot', 'space', 'virtual reality', 'war', 'video game', 'sex'], 'scores': [0.9937683939933777, 0.98860764503479, 0.7916949987411499, 0.23380021750926971, 0.007742727641016245, 0.0017558382824063301, 0.00018207909306511283]}","['artificial intelligence', 'robot']",artificial intelligence
